index,id,Name,issueOpenScore,pullRequestMergeScore,commitRatioScore,averageCommitPerDayScore,totalScore
183,136498164,Pandinosaurus/mermaid,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
184,158947457,jerone/refined-github,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
185,161924730,Pandinosaurus/slambook-en,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
186,105548013,TiagoDanin-Forks/nodejs.org,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
187,90998049,buschtoens/ember.js,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
188,194512701,aananthraj/bitnami-docker-kubewatch,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
189,194184538,ungureanuvladvictor/cilium,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
190,156048328,sicsbd/Blogifier,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
191,205409399,fakegit/signature_algorithm,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
192,204419353,IMULMUL/Privilege-Escalation,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
193,169416258,security-geeks/blackbook,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
194,48695165,security-geeks/wpscan,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
195,195600636,devdbrandy/joi,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
196,197115394,ozyb/ios-chat,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
197,189425629,simon2077/boinc,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
198,151815195,SimenB/flow-typed,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
199,40224995,rvrsh3ll/theHarvester,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
200,85056281,xiaospider/test,0.6837607,0.0,0.0,0.0,0.11396012
201,205632083,github-tools-test/1567314657493-9218,0.6666667,0.0,0.0,0.0,0.11111111
202,205632084,github-tools-test/1567314658986-41509,0.6666667,0.0,0.0,0.0,0.11111111
203,205623381,github-tools-test/1567307742562-36382,0.6666667,0.0,0.0,0.0,0.11111111
204,11730342,vuejs/vue,0.6666667,0.0,0.0,0.0,0.11111111
205,205622973,github-tools-test/1567307413829-21232,0.6666667,0.0,0.0,0.0,0.11111111
206,204997203,ditman/engine,0.0,0.61538464,2.2419011E-4,2.2419011E-4,0.10884904
207,204360613,SudharakaP/generator-jhipster,0.0,0.5714286,2.2419011E-4,4.4838022E-4,0.1077706
208,202895013,IMULMUL/CheatSheetSeries,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
209,149344751,ProductHuntSO/hadoop,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
210,187305746,mitchm69/formulae.brew.sh,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
211,150358050,sctnightcore/godot,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
212,199469818,nicolaszf/jellyfin,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
213,40283061,hoojaoh/shotcut,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
214,48695183,security-geeks/nmap,0.0,0.6,1.6814258E-4,1.6814258E-4,0.10625691
215,179514372,Thomas-Hirsch/staged-recipes,0.0,0.58823526,2.8023764E-4,2.8023764E-4,0.104352176
216,186797927,QingWei-Li/RSSHub,0.0,0.5714286,2.2419011E-4,2.2419011E-4,0.101523034
217,173732941,HLTech/charts,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
218,200967710,seyrenhe/RSSHub,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
219,198151866,aoaim/RSSHub,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
220,189472391,fakegit/RSSHub,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
221,173906373,SimenB/storybook,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
222,131008463,ArchiFleKs/charts,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
223,160470390,moonfruit/homebrew-cask,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
224,96183067,stackriot/wix-style-react,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
225,98972024,3Golds/netdata,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
226,185307612,zytomorrow/RSSHub,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
227,175840509,brilon/RSSHub,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
228,182042325,ARXChrono/storybook,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
229,170860719,MediaIQ/material-ui,0.0,0.5714286,1.12095055E-4,1.12095055E-4,0.10146699
230,163999328,kmpaul/staged-recipes,0.0,0.5555556,2.8023764E-4,2.8023764E-4,0.09890556
231,186409290,steventam312/repo-info,0.0,0.5555556,2.8023764E-4,2.8023764E-4,0.09890556
232,137214193,rvrsh3ll/nmap,0.0,0.54545456,1.6814258E-4,1.6814258E-4,0.097166
233,184318764,FONZACUS/Cataclysm-DDA,0.0,0.54545456,1.6814258E-4,1.6814258E-4,0.097166
234,89447583,Mattlk13/libpcap,0.0,0.54545456,1.6814258E-4,1.6814258E-4,0.097166
235,198417545,Pandinosaurus/godot,0.0,0.5,1.6814258E-4,1.6814258E-4,0.089590244
236,81331941,Mattlk13/github,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
237,187570796,iplusx/RSSHub,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
238,185421022,Derke-Nguyen/Wizard_Duel,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
239,191321744,tiarebalbi/dotty,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
240,149424607,saksdirect/charts,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
241,196175127,nicolaszf/RSSHub,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
242,189168153,DomainGroupOSS/helm-charts,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
243,91401423,dvarner/ascendphp,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
244,174410636,pvinis/homebrew-cask,0.0,0.5,1.12095055E-4,1.12095055E-4,0.08956223
245,83463359,Mattlk13/redash,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
246,179009998,indux/elasticsearch,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
247,39229539,atxwebs/swagger-ui,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
248,196494858,osmaelo/pytorch,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
249,192561171,fakegit/httpie,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
250,193374108,r0xsh/libra,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
251,147318334,Mattlk13/httpie,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
252,152767048,fabriziofortino/charts,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
253,175103317,cherreco/airflow,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
254,147882155,Mattlk13/awesome-selfhosted,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
255,166732755,whtsky/Sonarr,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
256,196232351,joe9111/elasticsearch,0.0,0.5,5.6047527E-5,5.6047527E-5,0.08953419
